Requirement_1,Requirement_2,Conflict_Type,Mathematical_Expression
Users should be able to turn off the headlight manually.,The bike should have a storage compartment for a full-size helmet.,Material Conflict,Constraint(Users should be able → The bike should have)
The vehicle should support fast charging to reach 80% in 30 minutes.,The two-wheeler should use biodegradable materials where possible.,No Conflict,Constraint(The vehicle should s → The two-wheeler shou)
The battery should use standard charging methods to maintain longevity.,The bike should support over-the-air (OTA) software updates.,Material Conflict,Constraint(The battery should u → The bike should supp)
The display panel must be fully digital with GPS navigation.,The vehicle should be fully electric.,Contradiction,Constraint(The display panel mu → The vehicle should b)
The braking system should use ABS for enhanced safety.,The vehicle should be fully electric.,Resource Conflict,Constraint(The braking system s → The vehicle should b)
Users should be able to turn off the headlight manually.,The engine design should prioritize performance over emission constraints.,Performance Conflict,Constraint(Users should be able → The engine design sh)
The bike must have a top speed of 120 km/h.,"The vehicle should be affordable with a base price under $1,500.",Regulatory Conflict,Constraint(The bike must have a → The vehicle should b)
The wheels should be spoked to maintain classic aesthetics.,The seat should be made of premium leather for comfort.,Compliance Conflict,Constraint(The wheels should be → The seat should be m)
The bike should include an always-on headlight for safety compliance.,The vehicle design should be compact and lightweight.,Design Conflict,Constraint(The bike should incl → The vehicle design s)
Durability must be ensured for at least 10 years of use.,The frame should be made of lightweight aluminum for efficiency.,Compliance Conflict,Constraint(Durability must be e → The frame should be )
The battery should use standard charging methods to maintain longevity.,The frame should be made of lightweight aluminum for efficiency.,Compliance Conflict,Constraint(The battery should u → The frame should be )
The system should minimize power consumption for extended battery life.,The wheels should be spoked to maintain classic aesthetics.,No Conflict,Constraint(The system should mi → The wheels should be)
The two-wheeler should have a maximum curb weight of 120 kg.,The vehicle should be fully electric.,Material Conflict,Constraint(The two-wheeler shou → The vehicle should b)
The display panel must be fully digital with GPS navigation.,The frame should be made of lightweight aluminum for efficiency.,Compliance Conflict,Constraint(The display panel mu → The frame should be )
Durability must be ensured for at least 10 years of use.,The two-wheeler should use biodegradable materials where possible.,Technology Conflict,Constraint(Durability must be e → The two-wheeler shou)
The two-wheeler must have a rearview camera for safety.,The braking system should use ABS for enhanced safety.,Material Conflict,Constraint(The two-wheeler must → The braking system s)
The engine should have a minimum power output of 25 HP.,The bike should support over-the-air (OTA) software updates.,Compliance Conflict,Constraint(The engine should ha → The bike should supp)
The system should minimize power consumption for extended battery life.,Durability must be ensured for at least 10 years of use.,Contradiction,Constraint(The system should mi → Durability must be e)
The vehicle must achieve a fuel efficiency of at least 50 km/l.,Users should be able to turn off the headlight manually.,Cost Conflict,Constraint(The vehicle must ach → Users should be able)
The battery should use standard charging methods to maintain longevity.,The vehicle must meet Euro 6 emission standards.,Sustainability Conflict,Constraint(The battery should u → The vehicle must mee)
The two-wheeler should use biodegradable materials where possible.,Production costs should remain below market average for affordability.,Design Conflict,Constraint(The two-wheeler shou → Production costs sho)
"The vehicle should be affordable with a base price under $1,500.",The battery should use standard charging methods to maintain longevity.,Technology Conflict,Constraint(The vehicle should b → The battery should u)
The vehicle should support fast charging to reach 80% in 30 minutes.,The seat should be made of premium leather for comfort.,Sustainability Conflict,Constraint(The vehicle should s → The seat should be m)
